"","logFC","AveExpr","t","P.Value","adj.P.Val","B","BH"
"IFITM1",-6.2763525491203,11.5104121730441,-42.758678288181,1.2109558451493e-08,1.37258069376889e-05,10.6331830541604,1.37258069376889e-05
"EGR1",-4.88180442816981,8.96638325901539,-42.7015483515978,1.22061422300479e-08,1.37258069376889e-05,10.6272654752512,1.37258069376889e-05
"DUSP4",-4.42372409132535,8.3761482028324,-40.9387196401441,1.56803463167143e-08,1.67045205156113e-05,10.4377931377934,1.67045205156113e-05
"TRIB2",-4.33786876402299,9.82517743769341,-40.1797100061649,1.75239691841241e-08,1.74636571185806e-05,10.3519241507781,1.74636571185806e-05
"IFIH1",-4.06870526117201,11.2766821591418,-39.8243718678758,1.84733662744392e-08,1.74636571185806e-05,10.3107912649398,1.74636571185806e-05
"KRT34",3.94065574991343,8.35550700012676,39.6429092651617,1.89812981872819e-08,1.74636571185806e-05,10.2895510507476,1.74636571185806e-05
"OAS3",-6.15313116528451,11.2375113703594,-37.6953711248582,2.55997690034271e-08,2.12025470533094e-05,10.0511497960447,2.12025470533094e-05
"IGFBP3",3.5583902357259,10.0755176823951,37.5905343764489,2.60265699180046e-08,2.12025470533094e-05,10.0377525552288,2.12025470533094e-05
"PARP9",-3.92200961758344,10.927922087844,-37.5514946338582,2.61876229599692e-08,2.12025470533094e-05,10.0327483227623,2.12025470533094e-05
"SLITRK4",-3.19780315855461,8.25004953817927,-34.2821219860997,4.49646696873588e-08,3.50049953516088e-05,9.58228078538428,3.50049953516088e-05
